FY,World-EB1,China-EB1,India-EB1,Row-EB1,World-EB2,China-EB2,India-EB2,Row-EB2,World-EB3,China-EB3,India-EB3,Row-EB3
2009,40976,4999,6672,29305,46016,3045,10106,32865,37302,1027,2220,34055
2010,41026,6741,5326,28959,53872,6505,19961,27406,37669,3513,2856,31300
2011,25229,3940,4563,16726,66804,8257,23997,34550,37425,2542,3954,30929
2012,39387,6183,9506,23698,50593,5858,19726,25009,39549,2827,2758,33964
2013,39058,6249,9640,23169,63461,3627,17193,42641,43740,3229,7763,32748
2014,40608,6117,12978,21513,49071,3561,23527,21983,42699,3676,3465,35558
2015,41990,6239,12251,23500,44479,4202,7235,33042,37450,3211,7003,27236
2016,43723,6711,10985,26027,39111,2837,3930,32344,37540,2815,4583,30142
2017,41828,6337,13082,22409,39961,2559,2879,34523,37770,2524,6608,28638
2018,39521,6582,10967,21972,40641,2681,4096,33864,39966,4392,6050,29524
2019,40092,5284,9008,25800,40052,3369,2908,33775,40876,3682,5083,32111
