,date,eb1-row,eb1-cn,eb1-in
0,2004-01-01,2004-01-01,2004-01-01,2004-01-01
1,2005-01-01,2005-01-01,2005-01-01,2005-01-01
2,2005-02-01,2005-02-01,2005-02-01,2005-02-01
3,2005-03-01,2005-03-01,2005-03-01,2005-03-01
4,2005-04-01,2005-04-01,2005-04-01,2005-04-01
5,2005-05-01,2005-05-01,2005-05-01,2005-05-01
6,2005-06-01,2005-06-01,2005-06-01,2005-06-01
7,2005-07-01,2005-07-01,2005-07-01,2005-07-01
8,2005-08-01,2005-08-01,2005-08-01,2005-08-01
9,2005-09-01,2005-09-01,2005-09-01,2005-09-01
10,2005-10-01,2005-10-01,2000-01-01,2002-08-01
11,2006-01-01,2006-01-01,2002-01-01,2003-07-01
12,2006-02-01,2006-02-01,2003-01-01,2004-02-01
13,2006-03-01,2006-03-01,2003-07-01,2004-07-01
14,2006-04-01,2006-04-01,2004-01-01,2005-01-01
15,2006-05-01,2006-05-01,2004-07-01,2005-07-01
16,2006-06-01,2006-06-01,2005-07-01,2006-01-01
17,2006-07-01,2006-07-01,2006-07-01,2006-01-01
18,2006-08-01,2006-08-01,2006-08-01,2006-01-01
19,2006-09-01,2006-09-01,2006-09-01,2006-09-01
20,2006-10-01,2006-10-01,2006-10-01,2006-10-01
21,2006-11-01,2006-11-01,2006-11-01,2006-11-01
22,2007-01-01,2007-01-01,2007-01-01,2007-01-01
23,2008-01-01,2008-01-01,2008-01-01,2008-01-01
24,2008-02-01,2008-02-01,2008-02-01,2008-02-01
25,2008-03-01,2008-03-01,2008-03-01,2008-03-01
26,2008-04-01,2008-04-01,2008-04-01,2008-04-01
27,2008-05-01,2008-05-01,2008-05-01,2008-05-01
28,2008-06-01,2008-06-01,2008-06-01,2008-06-01
29,2008-07-01,2008-07-01,2008-07-01,2008-07-01
30,2008-08-01,2008-08-01,2008-08-01,2008-08-01
31,2008-09-01,2008-09-01,2008-09-01,2008-09-01
32,2008-10-01,2008-10-01,2008-10-01,2008-10-01
33,2008-11-01,2008-11-01,2008-11-01,2008-11-01
34,2008-12-01,2008-12-01,2008-12-01,2008-12-01
35,2009-01-01,2009-01-01,2009-01-01,2009-01-01
36,2009-02-01,2009-02-01,2009-02-01,2009-02-01
37,2009-03-01,2009-03-01,2009-03-01,2009-03-01
38,2009-04-01,2009-04-01,2009-04-01,2009-04-01
39,2009-05-01,2009-05-01,2009-05-01,2009-05-01
40,2009-06-01,2009-06-01,2009-06-01,2009-06-01
41,2009-07-01,2009-07-01,2009-07-01,2009-07-01
42,2009-08-01,2009-08-01,2009-08-01,2009-08-01
43,2009-09-01,2009-09-01,2009-09-01,2009-09-01
44,2009-10-01,2009-10-01,2009-10-01,2009-10-01
45,2009-11-01,2009-11-01,2009-11-01,2009-11-01
46,2009-12-01,2009-12-01,2009-12-01,2009-12-01
47,2010-01-01,2010-01-01,2010-01-01,2010-01-01
48,2010-02-01,2010-02-01,2010-02-01,2010-02-01
49,2010-03-01,2010-03-01,2010-03-01,2010-03-01
50,2010-04-01,2010-04-01,2010-04-01,2010-04-01
51,2010-05-01,2010-05-01,2010-05-01,2010-05-01
52,2010-06-01,2010-06-01,2010-06-01,2010-06-01
53,2010-07-01,2010-07-01,2010-07-01,2010-07-01
